Id,Predicted
2539,73.27285
5121,62.896255
5203,105.36514
5238,221.49658
6848,158.44356
7322,107.55372
7726,132.3166
7750,231.88188
8025,121.09733
9783,75.082245
12048,138.54887
14287,240.31392
14290,142.37889
14314,172.89955
14322,238.21405
15711,201.97339
16421,115.23633
18127,240.45787
18728,137.58255
19601,170.52689
20299,100.595604
20724,64.18215
20853,216.66058
20913,163.83551
21293,116.1894
22911,136.2848
25406,182.66196
27531,74.89486
27659,178.91096
28321,66.381096
29013,69.23524
29455,158.10808
32037,162.88776
32100,201.86557
32965,145.6654
32969,169.45348
33223,84.39051
36121,83.78174
36442,185.58273
38638,208.11566
40039,115.62095
42580,79.80487
43957,57.187344
44096,54.637867
44212,113.68215
44221,189.15378
47926,259.3159
50447,179.20483
51572,130.7971
53137,202.61871
55498,67.76318
55982,84.441246
57297,212.86838
57618,197.85748
57874,165.37753
58059,54.645702
58467,115.49576
60164,459.6097
60666,69.48531
60794,173.08961
61406,74.34546
62427,222.64034
63299,70.47617
63657,135.3389
63719,76.31253
64277,72.67211
64837,115.35349
65562,238.9803
65615,179.47638
66741,190.9134
67299,200.42972
68305,75.26708
68765,210.75368
69921,59.449318
71248,232.22478
72265,81.14796
74073,184.76276
77765,133.97392
82638,235.59683
83446,198.00903
84059,148.34058
89621,160.39146
93313,157.35255
98663,267.06656
112435,87.99505
117425,220.17523
118061,148.92618
120362,167.75145
121861,166.28848
123784,181.7873
132695,159.38338
138216,153.74205
140973,243.878
144087,205.00256
145188,356.4274
148825,213.57703
150804,190.93176
151478,70.92225
152263,181.44147
155296,248.85193
161366,62.88335
162493,173.60054
162508,161.90685
163836,69.88038
165824,63.63101
166541,65.46234
167482,198.62592
168546,190.04506
170420,190.58788
172700,105.03418
172870,89.09281
174966,553.4617
176135,167.08386
180507,113.15785
188674,200.01515
193105,129.26138
193333,94.24236
195233,48.31326
195971,146.2849
200645,124.14642
204833,88.882805
206772,242.84346
206957,151.69545
208889,131.88191
213272,57.22239
219818,221.98512
220351,71.142555
220946,241.57518
221043,162.11966
221097,194.13579
225297,211.11647
226021,161.17241
227735,238.34605
230321,147.07057
232618,179.61328
234184,176.62025
236788,193.17317
239899,132.82104
243708,159.29305
246351,204.14467
250311,80.61479
250536,104.83294
251262,86.73702
251277,123.23214
253815,223.55852
254409,180.04436
255476,92.20877
255601,159.3748
256369,129.30605
258686,51.93034
258740,53.520103
262343,202.79216
262405,128.48233
262478,116.44866
263502,177.26083
265506,203.15018
265831,293.13895
266756,195.34288
267376,103.7849
267652,71.31564
268392,177.19286
268481,164.25705
269889,79.12681
270231,51.287384
270345,202.7713
270680,146.93193
271128,67.44204
271694,406.345
272026,124.96523
274376,215.6154
276317,213.42157
281756,169.32306
282514,58.167877
282977,79.60596
283184,266.43192
284208,86.9961
286838,75.512
287397,132.87495
287408,202.07574
289288,242.28029
290457,225.49588
293004,205.99924
295231,86.03735
295379,195.88513
296361,61.17743
297962,266.54636
298759,64.1166
301034,90.35811
303345,181.55447
310338,62.9195
317905,158.52687
320876,170.48087
329064,120.660225
333189,99.20191
334607,171.96368
335819,141.00542
342995,73.91356
351530,172.59615
353317,236.12888
359982,67.72008
360400,137.26186
361803,73.77572
364785,86.385254
369411,84.357704
380416,197.06018
380730,133.18481
386555,35.560837
387377,178.96277
393016,116.18818
394026,145.17258
397034,127.4309
398281,228.2038
404502,94.84933
430665,201.5038
431865,141.15329
433218,167.56209
437906,198.78491
438513,135.16524
443646,218.88435
447766,113.20121
448048,59.89334
453161,159.31615
454763,125.735634
454929,229.2981
455734,105.68964
457829,193.6131
461050,201.01494
467634,37.904926
476570,196.22336
478949,224.92577
479002,171.70787
479285,72.4239
483414,72.67211
484728,131.56573
486350,158.7859
488083,142.61133
490011,181.61516
491977,243.49889
495249,51.287384
498120,67.714584
503460,66.660484
503529,222.14294
505315,47.90571
506121,95.77017
507393,72.672585
514457,146.29965
518566,109.86447
519310,50.69018
521806,128.31386
528485,79.02315
532749,182.52135
533625,150.144
539160,130.70952
539350,209.12848
544039,274.3471
545261,437.7403
546383,46.50908
546573,217.71773
548184,189.57416
550777,258.26373
552141,221.3162
557487,153.72691
564049,193.90773
565814,62.462234
567195,142.91614
575061,81.45545
577324,134.33334
577824,116.769394
578267,113.79264
580323,89.45574
